               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025027,            0.017778,           0.0091799,             0.78725,             0.77475,             0.81844,             0.53823,            0.016515,           0.0071534,            0.006179,             0.00307,             0.00307,             0.00307
                  37,            0.023479,            0.017247,           0.0080113,             0.80114,             0.80363,             0.84459,             0.54682,            0.016811,           0.0072227,           0.0049887,            0.002872,            0.002872,            0.002872
                  38,            0.024504,            0.016904,             0.00864,             0.76124,             0.79889,             0.83326,             0.52295,            0.016837,           0.0072152,            0.005275,            0.002674,            0.002674,            0.002674
                  39,            0.022711,            0.016845,           0.0081352,             0.75873,              0.7885,             0.81777,             0.53622,            0.016153,           0.0069908,           0.0055213,            0.002476,            0.002476,            0.002476
                  40,            0.022727,            0.016933,           0.0077866,             0.78047,             0.81898,             0.83149,             0.54639,            0.016518,           0.0071189,           0.0057349,            0.002278,            0.002278,            0.002278
                  41,            0.023323,            0.016785,           0.0073861,              0.7868,             0.82096,             0.85227,             0.56012,            0.016597,           0.0069595,           0.0058076,             0.00208,             0.00208,             0.00208
                  42,            0.022686,            0.016587,           0.0070504,             0.78867,             0.81467,             0.84945,              0.5637,            0.016315,           0.0070194,           0.0047597,            0.001882,            0.001882,            0.001882
                  43,            0.022694,             0.01675,           0.0072186,             0.80197,             0.83558,             0.86021,             0.55955,            0.016425,            0.007063,           0.0050359,            0.001684,            0.001684,            0.001684
                  44,            0.022338,            0.016946,           0.0074927,             0.79082,             0.81797,             0.84868,             0.56001,            0.016276,           0.0069917,           0.0047702,            0.001486,            0.001486,            0.001486
                  45,            0.022095,            0.016603,            0.007296,             0.77248,              0.8293,             0.85571,             0.56617,            0.016141,           0.0070052,           0.0050525,            0.001288,            0.001288,            0.001288
                  46,            0.021895,            0.016231,           0.0070958,             0.80801,              0.7928,             0.86566,              0.5748,            0.015866,            0.006944,            0.004853,             0.00109,             0.00109,             0.00109
                  47,             0.02166,            0.016325,           0.0074471,             0.78923,             0.81402,             0.85544,             0.57105,            0.015987,           0.0069549,           0.0051118,            0.000892,            0.000892,            0.000892
                  48,            0.020804,            0.016371,           0.0068844,             0.78776,             0.81167,              0.8506,             0.56612,            0.015831,           0.0069474,           0.0052564,            0.000694,            0.000694,            0.000694
                  49,             0.02188,            0.016093,           0.0067155,              0.7818,             0.82874,             0.85728,             0.57074,            0.015765,           0.0069427,           0.0053806,            0.000496,            0.000496,            0.000496
